date,artist,event_id,venue,city,state,show_set,time,song,song_n,isong,next_set,Nevents,ievent,break_length
1965-12-18,GratefulDead,16,The Big Beat Club,Palo Alto,CA,Set 1,,Good Lovin',1,5,,1,1,long
1966-01-07,GratefulDead,20,Matrix,San Francisco,CA,Set 1,,It's All Over Now Baby Blue,1,18,,1,1,long
1966-01-08,GratefulDead,21,Fillmore Auditorium,San Francisco,CA,Set 1,,Star Spangled Banner,1,24,,1,1,long
1966-01-13,GratefulDead,22,Matrix,San Francisco,CA,Set 1,,Hog For You Baby,1,26,,1,1,long
1966-01-28,GratefulDead,28,Matrix,San Francisco,CA,Set 1,,You Don't Have To Ask,1,27,Set 2,1,1,long
1966-01-28,GratefulDead,28,Matrix,San Francisco,CA,Set 2,,Midnight Hour,1,30,,1,1,long
1966-02-06,GratefulDead,30,Valley Unitarian Universalist Church,North Hills,CA,Set 1,,The Only Time Is Now,1,35,,1,1,long
1966-02-12,GratefulDead,32,Youth Opportunities Center,Compton,CA,Set 1,,Twist And Shout,1,39,,1,1,long
1966-03-02,GratefulDead,35,Bear's House,Los Angeles,CA,Set 1,,Stealin',1,41,,1,1,long
1966-03-12,GratefulDead,40,Danish Center,Los Angeles,CA,Set 1,21:00:00.000,Midnight Hour,1,52,,1,1,long
1966-03-19,GratefulDead,41,Carthay Studios,Los Angeles,CA,Set 1,20:00:00.000,Viola Lee Blues,1,53,,1,1,long
1966-03-25,GratefulDead,43,Trouper's Club,Los Angeles,CA,Set 1,21:00:00.000,Next Time You See Me,1,60,,1,1,long
1966-04-22,GratefulDead,44,Longshoreman's Hall,San Francisco,CA,Set 1,21:00:00.000,Good Morning Little Schoolgirl,2,64,,1,1,long
1966-04-24,GratefulDead,46,Longshoreman's Hall,San Francisco,CA,Set 1,21:00:00.000,Blues Jam,1,70,,1,1,long
1966-05-07,GratefulDead,47,"Harmon Gym, UC Berkeley",Berkeley,CA,Set 1,21:00:00.000,Midnight Hour,1,71,,1,1,long
1966-05-19,GratefulDead,49,Avalon Ballroom,San Francisco,CA,Set 1,20:30:00.000,Cream Puff War,1,80,Set 2,1,1,long
1966-05-19,GratefulDead,49,Avalon Ballroom,San Francisco,CA,Set 2,20:30:00.000,You Don't Have To Ask,1,88,,1,1,long
1966-05-29,GratefulDead,53,California Hall,San Francisco,CA,Set 1,21:00:00.000,Dancin' In The Streets,1,89,,1,1,long
1966-06-03,GratefulDead,56,Fillmore Auditorium,San Francisco,CA,Set 1,,Mindbender,1,90,,1,1,long
1966-07-01,GratefulDead,66,Fillmore Auditorium,San Francisco,CA,Set,,Dancin' In The Streets,1,96,,1,1,long
1966-07-03,GratefulDead,67,Fillmore Auditorium,San Francisco,CA,Set 1,,Keep Rolling By,1,105,Set 2,1,1,long
1966-07-03,GratefulDead,67,Fillmore Auditorium,San Francisco,CA,Set 2,,Midnight Hour,1,115,,1,1,long
1966-07-15,GratefulDead,71,Fillmore Auditorium,San Francisco,CA,Set 1,,Keep Rolling By,1,117,,1,1,long
1966-07-16,GratefulDead,72,Fillmore Auditorium,San Francisco,CA,Set 1,,Cream Puff War,1,127,Set 2,1,1,long
1966-07-16,GratefulDead,72,Fillmore Auditorium,San Francisco,CA,Set 2,,Dancin' In The Streets,1,137,Encore,1,1,short
1966-07-16,GratefulDead,72,Fillmore Auditorium,San Francisco,CA,Encore,,Midnight Hour,1,138,,1,1,long
1966-07-17,GratefulDead,73,Fillmore Auditorium,San Francisco,CA,Set 1,,Keep Rolling By,1,149,,1,1,long
1966-07-29,GratefulDead,75,P.N.E. Garden Auditorium,Vancouver,BC,Set 1,,Cream Puff War,1,159,Set 2,1,1,long
1966-07-29,GratefulDead,75,P.N.E. Garden Auditorium,Vancouver,BC,Set 2,,Good Morning Little Schoolgirl,1,162,,1,1,long
1966-07-30,GratefulDead,76,P.N.E. Garden Auditorium,Vancouver,BC,Set 1,,Minglewood Blues,1,171,,1,1,long
1966-07-31,GratefulDead,77,P.N.E. Garden Auditorium,Vancouver,BC,Set 1,,Tastebud,1,174,,1,1,long
1966-09-01,GratefulDead,87,House Party Cabin,Loma Mar,CA,Set,,Midnight Hour,1,175,,1,1,long
1966-09-02,GratefulDead,88,La Dolphine,Hillsborough,CA,Set 1,,The Butcher Is Back,1,182,Set 2,1,1,long
1966-09-02,GratefulDead,88,La Dolphine,Hillsborough,CA,Set 2,,Prankster Electronics,1,187,,1,1,long
1966-09-11,GratefulDead,92,Fillmore Auditorium,San Francisco,CA,Set 1,,Midnight Hour,1,189,,1,1,long
1966-10-02,GratefulDead,99,"Commons, San Francisco State University",San Francisco,CA,Set 1,,Sound Collage,3,205,,1,1,long
1966-10-23,GratefulDead,113,"Gymnasium, Las Lomas High School",Walnut Creek,CA,Set 1,15:00:00.000,Good Morning Little Schoolgirl,1,206,,1,1,long
1966-10-31,GratefulDead,119,California Hall,San Francisco,CA,Set 1,,Alice D. Millionaire,1,208,,1,1,long
1966-11-19,GratefulDead,134,Fillmore Auditorium,San Francisco,CA,Set 1,,Dancin' In The Streets,1,216,Set 2,1,1,long
1966-11-19,GratefulDead,134,Fillmore Auditorium,San Francisco,CA,Set 2,,Midnight Hour,1,219,,1,1,long
1966-11-29,GratefulDead,139,Matrix,San Francisco,CA,Set 1,,Cream Puff War,1,220,Set 2,1,1,long
1966-11-29,GratefulDead,139,Matrix,San Francisco,CA,Set 2,,Viola Lee Blues,1,228,Set 3,1,1,long
1966-11-29,GratefulDead,139,Matrix,San Francisco,CA,Set 3,,I Just Want To Make Love To You,1,231,,1,1,long
1966-12-01,GratefulDead,141,Matrix,San Francisco,CA,Set 1,,Cream Puff War,1,240,Set 2,1,1,long
1966-12-01,GratefulDead,141,Matrix,San Francisco,CA,Set 2,,Viola Lee Blues,1,249,Set 3,1,1,long
1966-12-01,GratefulDead,141,Matrix,San Francisco,CA,Set 3,,Me And My Uncle,2,256,,1,1,long
1966-12-23,GratefulDead,150,Avalon Ballroom,San Francisco,CA,Set 1,,Dancin' In The Streets,1,262,Encore,1,1,short
1966-12-23,GratefulDead,150,Avalon Ballroom,San Francisco,CA,Encore,,Midnight Hour,1,263,,1,1,long
1966-12-24,GratefulDead,151,Avalon Ballroom,San Francisco,CA,Set 1,,Midnight Hour,1,270,,1,1,long
1966-12-28,GratefulDead,152,Governor's Hall,Sacramento,CA,Set 1,,Death Don't Have No Mercy,1,271,,1,1,long
1967-01-14,GratefulDead,160,"Polo Field, Golden Gate Park",San Francisco,CA,Show,,Good Morning Little Schoolgirl,1,274,,1,1,long
1967-03-18,GratefulDead,187,Winterland,San Francisco,CA,Set 1,,Dancin' In The Streets,1,282,Set 2,1,1,long
1967-03-18,GratefulDead,187,Winterland,San Francisco,CA,Set 2,,Death Don't Have No Mercy,1,288,,1,1,long
1967-04-09,GratefulDead,201,"Panhandle, Golden Gate Park",San Francisco,CA,Set 1,,Unknown Blues Song,1,293,,1,1,long
1967-04-12,GratefulDead,204,Fillmore Auditorium,San Francisco,CA,Set 1,,Viola Lee Blues,1,295,,1,1,long
1967-04-28,GratefulDead,208,Stockton Ballroom,Stockton,CA,Set 1,,Cream Puff War,1,298,,1,1,long
1967-04-29,GratefulDead,209,Earl Warren Showgrounds,Santa Barbara,CA,Set 1,,Viola Lee Blues,1,299,,1,1,long
1967-05-12,GratefulDead,217,Marigold Ballroom,Fresno,CA,Set,21:45:00.000,Viola Lee Blues,1,302,,1,1,long
1967-05-18,GratefulDead,220,"Awalt Pavilion, Chester F. Awalt High School",Mountain View,CA,Set 1,15:15:00.000,Good Morning Little Schoolgirl,1,304,,1,1,long
